,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
136506,,,,,,
136503,,,,,,
139538,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
101501,[101501 101508    139],,,[101501 101555    406],[101501 101555    406],
32914,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
101345,,,,[101342 101424    498],[101340 101421    493],
139529,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
114137,,,,[114087 114142    414],,
114140,,,,[114087 114142    414],,
20015,[20015 20019    87],,,[20015 20031   335],[20008 20031   472],
139530,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
101350,,,,[101342 101424    498],[101340 101421    493],
54230,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
139534,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
114138,,,,[114087 114142    414],,
114139,,,,[114087 114142    414],,
101349,,,,[101342 101424    498],[101340 101421    493],
114135,,,,[114087 114142    414],,
139531,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
96863,[96858 96863   116],,,[96830 96863   481],[96858 96875   341],[96859 96881   444]
139540,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
139539,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
139533,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
139532,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
192093,,,,[192071 192129    414],,
101348,,,,[101342 101424    498],[101340 101421    493],
192094,,,,[192071 192129    414],,
205751,,,,[205738 205787    459],,
27292,,,,[27220 27297   471],[27220 27297   471],
205750,,,,[205738 205787    459],,
32907,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
