,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
20091,[20091 20094   148],,,[20091 20094   148],[20075 20091   401],[20080 20094   324]
68264,[68257 68266   116],[68257 68266   116],,[68247 68266   381],[68250 68273   482],[68255 68275   396]
128179,,,,,,
128172,,,,,,
128033,,,,[128005 128036    263],,
201424,,,,[201418 201450    471],[201418 201450    471],[201418 201450    471]
170966,,,,,,
73231,,,,,,
201423,,,,[201418 201450    471],[201418 201450    471],[201418 201450    471]
73205,,,,,,
128178,,,,,,
42742,,,,[42694 42754   431],[42694 42754   431],[42694 42754   431]
15223,[15219 15226   125],[15219 15226   125],[15220 15226    48],[15219 15229   293],[15219 15229   293],[15211 15226   287]
94691,[94688 94698   128],[94688 94698   128],,[94666 94698   465],[94678 94698   304],[94678 94698   304]
3517,,,,,,
94693,[94688 94698   128],[94688 94698   128],,[94666 94698   465],[94678 94698   304],[94678 94698   304]
128181,,,,,,
42741,,,,[42694 42754   431],[42694 42754   431],[42694 42754   431]
19926,[19924 19931   119],[19924 19931   119],,[19892 19931   491],[19924 19944   334],[19892 19931   491]
193156,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
193345,,,,[193301 193371    484],,
193155,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
128032,,,,[128005 128036    263],,
19680,[19679 19684    61],[19675 19684   144],[19675 19684   144],[19661 19684   407],[19670 19684   306],[19670 19684   306]
32902,[32897 32904    97],,,[32872 32902   457],[32884 32904   306],
193157,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
193344,,,,[193301 193371    484],,
206100,,,,[206072 206100    493],[206097 206131    371],[206095 206131    431]
3496,,,,,,
128177,,,,,,
128498,[128489 128500    123],,,[128482 128500    254],[128477 128498    348],[128477 128502    444]
3518,,,,,,
128499,[128489 128500    123],[128499 128502     54],,[128482 128500    254],[128499 128518    324],[128477 128502    444]
73203,,,,,,
19468,,,,,,
101268,[101267 101276    110],[101267 101276    110],[101267 101276    110],[101258 101276    297],[101267 101278    381],[101258 101276    297]
193158,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
128176,,,,,,
19678,[19674 19678   117],[19675 19684   144],[19675 19684   144],[19661 19684   407],[19670 19684   306],[19670 19684   306]
94690,[94688 94698   128],[94688 94698   128],,[94666 94698   465],[94678 94698   304],[94678 94698   304]
19928,[19924 19931   119],[19924 19931   119],,[19892 19931   491],[19924 19944   334],[19892 19931   491]
128167,,,,,,
127930,,,,,,
101269,[101267 101276    110],[101267 101276    110],[101267 101276    110],[101258 101276    297],[101267 101278    381],[101258 101276    297]
44434,,,,[44416 44444   321],[44411 44440   408],[44414 44440   284]
139529,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
19686,,,,,,
44433,,,,[44416 44444   321],[44411 44440   408],[44414 44440   284]
19418,[19415 19422    90],,,[19415 19422    90],,
30733,[30731 30737   114],,,[30717 30734   297],[30723 30743   463],[30728 30737   154]
128165,,,,,,
94694,[94688 94698   128],[94688 94698   128],,[94666 94698   465],[94678 94698   304],[94678 94698   304]
36280,[36277 36284   101],,,[36277 36288   181],[36274 36293   331],[36274 36293   331]
101267,[101267 101276    110],[101267 101276    110],[101267 101276    110],[101258 101276    297],[101267 101278    381],[101258 101276    297]
79496,[79496 79504    94],,,[79480 79504   408],[79496 79511   235],
166435,,,,,,
193159,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
170913,,,,,,
18972,,,,[18951 19045   422],[18951 19045   422],
128173,,,,,,
77712,[77710 77721   113],[77710 77721   113],,[77710 77732   326],[77710 77732   326],[77710 77738   466]
20015,[20015 20019    87],,,[20015 20031   335],[20008 20031   472],
19920,,,,[19892 19931   491],[19889 19923   408],[19892 19931   491]
193161,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
42744,,,,[42694 42754   431],[42694 42754   431],[42694 42754   431]
19417,[19415 19422    90],,,[19415 19422    90],,
181944,,,,,,
193168,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
75471,,,,[75408 75473   490],[75444 75509   423],
73201,,,,,,
101258,[101258 101266    130],[101258 101266    130],[101258 101266    130],[101258 101276    297],[101252 101266    364],[101258 101276    297]
94692,[94688 94698   128],[94688 94698   128],,[94666 94698   465],[94678 94698   304],[94678 94698   304]
20139,[20139 20142   102],,,[20139 20147   315],[20133 20140   432],[20137 20145   437]
54604,,,,[54603 54607   198],[54603 54607   198],[54603 54607   198]
128168,,,,,,
136602,[136597 136604     30],,,[136597 136628    448],[136591 136614    404],
128171,,,,,,
193165,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
19419,[19415 19422    90],,,[19415 19422    90],,
19612,,,,[19578 19625   356],[19578 19627   467],
170914,,,,,,
155293,[155285 155299    114],,,[155279 155305    438],[155285 155308    324],[155283 155305    297]
107067,,,,[107051 107095    444],[107051 107095    444],
42743,,,,[42694 42754   431],[42694 42754   431],[42694 42754   431]
151129,,,,[151077 151134    485],[151077 151134    485],
11341,,,,,,
181945,,,,,,
32577,[32568 32578    71],[32568 32578    71],[32568 32578    71],[32561 32582   322],[32561 32578   157],[32561 32578   157]
19416,[19415 19422    90],,,[19415 19422    90],,
12080,[12064 12091   135],[12064 12091   135],,[12023 12091   478],[12064 12103   303],
3546,,,,,,
193169,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
73208,,,,,,
19681,[19679 19684    61],[19675 19684   144],[19675 19684   144],[19661 19684   407],[19670 19684   306],[19670 19684   306]
4514,,,,,,
18250,[18249 18252    26],[18249 18252    26],,[18244 18257   369],[18249 18257   236],[18244 18253   204]
3545,,,,,,
54602,[54597 54602   111],[54597 54602   111],,[54593 54602   185],[54593 54602   185],[54585 54602   374]
123596,[123583 123605    127],,,[123552 123605    485],[123580 123613    431],[123580 123613    431]
62968,,,,,,
32907,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
