,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
132469,,,,[132465 132476    492],[132468 132482    468],[132460 132469    423]
231906,,,,[231881 231917    215],,
231907,,,,[231881 231917    215],,
231908,,,,[231881 231917    215],,
231912,,,,[231881 231917    215],,
231956,,,,[231918 231966    357],,
231946,,,,[231918 231966    357],,
231957,,,,[231918 231966    357],,
231955,,,,[231918 231966    357],,
231943,,,,[231918 231966    357],,
132468,,,,[132465 132476    492],[132468 132482    468],[132460 132469    423]
232074,,,,[232069 232122    232],,
232071,,,,[232069 232122    232],,
232075,,,,[232069 232122    232],,
232070,,,,[232069 232122    232],,
232078,,,,[232069 232122    232],,
226414,,,,[226414 226423    476],[226414 226423    476],[226412 226416    270]
232073,,,,[232069 232122    232],,
232076,,,,[232069 232122    232],,
232077,,,,[232069 232122    232],,
199793,,,,[199793 199807    251],[199793 199807    251],[199791 199795    267]
232079,,,,[232069 232122    232],,
232080,,,,[232069 232122    232],,
231915,,,,[231881 231917    215],,
213630,,,,[213630 213633    214],[213628 213631    409],[213628 213631    409]
232082,,,,[232069 232122    232],,
232069,,,,[232069 232122    232],,
213628,,,,[213625 213629    346],[213628 213631    409],[213628 213631    409]
232081,,,,[232069 232122    232],,
232065,,,,[232000 232068    483],,
32900,[32897 32904    97],,,[32872 32902   457],[32884 32904   306],
17951,[17949 17952    69],[17949 17952    69],,[17939 17954   280],[17935 17957   455],[17949 17961   348]
231965,,,,[231918 231966    357],,
232064,,,,[232000 232068    483],,
231683,,,,[231683 231724    424],[231683 231724    424],
231963,,,,[231918 231966    357],,
232083,,,,[232069 232122    232],,
232084,,,,[232069 232122    232],,
232437,[232433 232440    144],[232433 232440    144],[232433 232440    144],[232437 232447    453],[232428 232440    414],[232433 232443    238]
199792,,,,[199789 199792    167],[199789 199792    167],[199791 199795    267]
232439,[232433 232440    144],[232433 232440    144],[232433 232440    144],[232437 232447    453],[232428 232440    414],[232433 232443    238]
32907,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
32903,[32897 32904    97],,,[32903 32929   309],[32884 32904   306],[32903 32929   309]
231934,,,,[231918 231966    357],,
231858,[231851 231873    130],,,[231851 231880    185],[231851 231880    185],[231851 231880    185]
232067,,,,[232000 232068    483],,
