,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
133365,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
133367,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
133362,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
96619,,,,[96609 96668   436],[96609 96668   436],[96610 96660   243]
132508,[132503 132511     94],[132503 132511     94],,[132499 132511    236],[132483 132511    444],[132499 132511    236]
96630,,,,[96609 96668   436],[96609 96668   436],[96610 96660   243]
193173,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
132463,[132463 132467    119],[132460 132463     65],,[132459 132464    216],[132460 132467    184],[132460 132469    423]
136469,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
136466,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
132470,,,,[132465 132476    492],[132468 132482    468],[132470 132476    168]
136471,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
132462,[132459 132462    144],[132460 132463     65],,[132459 132464    216],[132460 132467    184],[132460 132469    423]
192091,,,,[192071 192129    414],,
150253,[150252 150271    120],,,[150246 150273    411],,
133373,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
50788,,,,[50783 50788   168],[50783 50789   276],[50783 50789   276]
114399,,,,[114396 114426    491],[114396 114423    365],
54229,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
136464,,,,,,
136503,,,,,,
132407,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
54249,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
201277,[201273 201280     85],[201273 201280     85],[201273 201280     85],[201273 201282    234],[201262 201280    269],[201258 201280    371]
132420,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
132406,,,,[132404 132422    371],[132404 132422    371],[132404 132422    371]
132408,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
132419,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
188628,,,,[188616 188635    352],,
136467,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
136472,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
132409,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
132410,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
132418,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
132469,,,,[132465 132476    492],[132468 132482    468],[132460 132469    423]
132416,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
132414,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
192092,,,,[192071 192129    414],,
132412,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
132413,[132407 132422     53],[132407 132422     53],[132407 132422     53],[132404 132422    371],[132404 132422    371],[132404 132422    371]
86744,[86736 86744   129],,,[86734 86761   394],,
3495,,,,,,
11663,,,,[11643 11681   462],,
94862,[94862 94866    26],[94862 94866    26],[94862 94866    26],[94853 94869   491],[94848 94866   461],[94862 94871   227]
54231,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
161248,,,,,,
17815,,,,[17804 17821   310],[17804 17821   310],[17804 17821   310]
54319,[54319 54325   117],[54319 54325   117],,[54312 54325   309],[54312 54325   309],[54312 54326   359]
136465,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
135877,[135876 135887    120],[135877 135891    132],[135877 135891    132],[135874 135891    324],[135874 135891    324],[135874 135891    324]
43260,,,,,,
114397,,,,[114396 114426    491],[114396 114423    365],
192068,[192054 192068     99],,,[192054 192070    150],,
114398,,,,[114396 114426    491],[114396 114423    365],
127530,[127526 127534     91],,,[127530 127546    357],[127526 127549    484],
166366,,,,,,
155290,[155285 155299    114],,,[155279 155305    438],[155285 155308    324],[155283 155305    297]
214007,,,,,,
54246,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
188629,,,,[188616 188635    352],,
43259,,,,,,
214006,,,,,,
178003,[177998 178005    123],[177998 178005    123],,[177988 178005    307],[177988 178007    355],[177988 178007    355]
136473,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
59130,,,,[59120 59148   325],[59120 59157   427],
44522,[44519 44522    36],,,[44502 44522   288],[44502 44530   412],[44502 44530   412]
3556,,,,,,
32822,[32822 32827   102],[32822 32827   102],[32822 32827   102],[32805 32824   444],[32805 32824   444],[32822 32856   482]
208992,,,,,,
3553,,,,,,
102612,,,,[102602 102634    491],[102602 102622    290],
94861,,,,[94853 94869   491],[94848 94866   461],[94848 94861   370]
132430,[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141]
136475,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
132429,[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141]
54235,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
193172,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
132431,[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141]
54181,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
136470,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
192096,,,,[192071 192129    414],,
188680,[188677 188681     33],,,[188677 188696    280],[188672 188696    419],
6703,[6701 6707   90],[6701 6707   90],[6701 6707   90],[6690 6703  338],[6696 6707  264],[6690 6707  413]
188679,[188677 188681     33],,,[188677 188696    280],[188672 188696    419],
181787,[181779 181787     98],,,[181776 181791    469],[181758 181787    476],
54248,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
20164,[20162 20166    40],[20158 20166   127],,[20162 20179   419],[20155 20166   207],[20155 20170   362]
214009,,,,,,
132440,[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141]
3557,,,,,,
132475,[132472 132482    140],[132472 132482    140],[132472 132482    140],[132465 132476    492],[132468 132482    468],[132470 132476    168]
188627,,,,[188616 188635    352],,
192069,,,,[192054 192070    150],,
20135,[20131 20136   135],[20131 20136   135],[20131 20136   135],[20133 20138   375],[20133 20140   432],[20131 20136   135]
132432,[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141]
107092,,,,[107051 107095    444],[107051 107095    444],
20991,[20990 20995    89],,,[20988 21002   425],[20975 20991   388],[20989 21005   448]
29667,,,,[29660 29672   243],[29660 29672   243],[29662 29691   489]
214003,,,,,,
192095,,,,[192071 192129    414],,
114084,[114071 114084     99],,,[114071 114086    150],,
51294,,,,[51261 51320   483],[51261 51320   483],
161262,,,,,,
11845,,,,,,
155266,[155265 155269     93],[155265 155270    127],,[155258 155278    439],[155254 155278    499],[155252 155275    481]
161330,,,,,,
95165,,,,,,
62908,,,,,,
155211,,,,[155187 155218    364],[155161 155211    491],[155161 155211    491]
19989,[19986 19996   135],,,[19986 19998   255],[19968 19997   494],[19968 19997   494]
63073,,,,,,
114085,,,,[114071 114086    150],,
188747,,,,[188697 188759    497],[188697 188759    497],
155245,[155235 155251    145],[155235 155251    145],[155235 155251    145],[155232 155257    415],[155226 155253    446],[155226 155251    373]
229247,,,,[229245 229289    483],[229231 229282    420],[229231 229282    420]
54326,,,,[54326 54330   410],[54326 54330   410],[54312 54326   359]
54571,[54565 54571   131],,,[54565 54578   338],[54555 54571   278],[54555 54571   278]
209429,,,,[209395 209432    312],[209395 209432    312],
54330,,,[54327 54330   114],[54326 54330   410],[54326 54330   410],[54327 54336   366]
95166,,,,,,
229479,[229478 229491    141],[229478 229491    141],[229478 229491    141],[229478 229494    252],[229456 229491    491],[229478 229494    252]
155267,[155265 155269     93],[155265 155270    127],,[155258 155278    439],[155254 155278    499],[155252 155275    481]
155247,[155235 155251    145],[155235 155251    145],[155235 155251    145],[155232 155257    415],[155226 155253    446],[155226 155251    373]
95167,,,,,,
94668,[94666 94677   108],,,[94666 94698   465],[94637 94677   473],[94637 94677   473]
188748,,,,[188697 188759    497],[188697 188759    497],
155246,[155235 155251    145],[155235 155251    145],[155235 155251    145],[155232 155257    415],[155226 155253    446],[155226 155251    373]
16789,,,,[16785 16819   466],[16785 16819   466],[16785 16819   466]
136522,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
95168,,,,,,
209424,,,,[209395 209432    312],[209395 209432    312],
54329,,,[54327 54330   114],[54326 54330   410],[54326 54330   410],[54327 54336   366]
16815,,,,[16785 16819   466],[16785 16819   466],[16785 16819   466]
132539,,,,,,
101266,[101258 101266    130],[101258 101266    130],[101258 101266    130],[101258 101276    297],[101252 101266    364],[101258 101276    297]
11586,[11582 11587    72],[11580 11587   135],,[11582 11622   378],[11571 11587   312],
155268,[155265 155269     93],[155265 155270    127],,[155258 155278    439],[155254 155278    499],[155252 155275    481]
54328,,,[54327 54330   114],[54326 54330   410],[54326 54330   410],[54327 54336   366]
209430,,,,[209395 209432    312],[209395 209432    312],
132538,,,,,,
