,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
136506,,,,,,
99367,,,,,,
99369,,,,,,
99388,,,,,,
99384,,,,,,
99379,,,,,,
99376,,,,,,
99362,,,,,,
99349,,,,,,
13325,,,,,,
136513,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
13331,,,,,,
13297,,,,,,
13250,,,,,,
13313,,,,,,
136514,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
13377,,,,,,
136512,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
41564,[41562 41568    72],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
136503,,,,,,
109460,[109458 109468    118],[109458 109468    118],[109458 109468    118],[109451 109466    303],[109439 109468    487],[109458 109483    485]
136511,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
109459,[109458 109468    118],[109458 109468    118],[109458 109468    118],[109451 109466    303],[109439 109468    487],[109458 109483    485]
99360,,,,,,
109461,[109458 109468    118],[109458 109468    118],[109458 109468    118],[109451 109466    303],[109439 109468    487],[109458 109483    485]
109457,[109453 109457    105],[109451 109457    147],[109451 109457    147],[109451 109466    303],[109439 109468    487],[109439 109457    292]
41563,[41562 41568    72],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
109466,[109458 109468    118],[109458 109468    118],[109458 109468    118],[109451 109466    303],[109439 109468    487],[109458 109483    485]
109464,[109458 109468    118],[109458 109468    118],[109458 109468    118],[109451 109466    303],[109439 109468    487],[109458 109483    485]
109465,[109458 109468    118],[109458 109468    118],[109458 109468    118],[109451 109466    303],[109439 109468    487],[109458 109483    485]
109475,[109469 109475    100],[109469 109475    100],[109469 109475    100],[109467 109480    282],[109469 109483    314],[109458 109483    485]
109477,[109476 109480     72],,,[109467 109480    282],[109469 109483    314],[109458 109483    485]
41580,[41577 41582    89],[41576 41582   120],,[41573 41589   415],[41573 41582   284],[41573 41582   284]
109479,[109476 109480     72],,,[109467 109480    282],[109469 109483    314],[109458 109483    485]
41567,[41562 41568    72],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
91340,,,,[91303 91366   438],,
41566,[41562 41568    72],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
91341,,,,[91303 91366   438],,
41578,[41577 41582    89],[41576 41582   120],,[41573 41589   415],[41573 41582   284],[41573 41582   284]
41565,[41562 41568    72],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
41577,[41577 41582    89],[41576 41582   120],,[41573 41589   415],[41573 41582   284],[41573 41582   284]
41179,,,,[41179 41188   282],[41177 41181   366],[41177 41181   366]
41571,[41569 41572    62],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
41517,[41517 41526   138],[41517 41520    38],[41515 41520    82],[41514 41520   136],[41517 41543   428],[41498 41520   473]
41180,,,,[41179 41188   282],[41177 41181   366],[41177 41181   366]
91345,,,,[91303 91366   438],,
91386,,,,[91386 91426   360],[91377 91426   466],
91382,[91377 91385    43],[91377 91385    43],,[91367 91385   168],[91377 91426   466],
41576,,[41576 41582   120],,[41573 41589   415],[41573 41582   284],[41573 41582   284]
91347,,,,[91303 91366   438],,
41569,[41569 41572    62],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
91344,,,,[91303 91366   438],,
91346,,,,[91303 91366   438],,
41570,[41569 41572    62],,,[41556 41572   317],[41556 41572   317],[41556 41572   317]
41574,,,,[41573 41589   415],[41573 41582   284],[41573 41582   284]
41514,[41510 41516   133],[41510 41516   133],,[41514 41520   136],[41496 41516   449],[41498 41520   473]
91343,,,,[91303 91366   438],,
109451,[109439 109452    148],[109451 109457    147],[109451 109457    147],[109451 109466    303],[109439 109468    487],[109439 109457    292]
