,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
136506,,,,,,
136507,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
145073,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
145072,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
188655,,,,[188636 188658    350],,
185038,,,,,,
28295,[28287 28296   119],,,[28285 28298   268],,
163899,,,,[163871 163911    456],[163875 163913    468],
205899,,,,,,
222054,[222038 222054    138],,,[222025 222056    432],,
145076,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
64873,[64861 64873   132],,,[64851 64879   490],[64858 64880   326],
62906,,,,,,
51291,,,,[51261 51320   483],[51261 51320   483],
132457,,,,,,
62974,,,,,,
73224,,,,,,
136513,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
145065,[145063 145077    149],[145063 145069     77],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
163901,,,,[163871 163911    456],[163875 163913    468],
145063,[145063 145077    149],[145063 145069     77],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
111550,[111548 111551    111],[111549 111556    132],,[111550 111560    287],[111543 111558    457],[111548 111563    477]
17153,[17152 17155    90],[17152 17155    90],[17152 17155    90],[17141 17153   277],[17139 17153   313],[17139 17153   313]
145062,[145036 145062    139],,,[144982 145062    482],[144982 145062    482],[144982 145062    482]
186987,,,,,,
93829,[93825 93829   134],,,[93823 93833   472],[93823 93829   295],[93823 93829   295]
103880,,,,,,
161337,,,,,,
61424,[61423 61427    87],[61423 61427    87],[61423 61427    87],[61423 61440   350],[61423 61430   170],[61408 61427   456]
16815,,,,[16785 16819   466],[16785 16819   466],[16785 16819   466]
145064,[145063 145077    149],[145063 145069     77],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
114510,,,,[114499 114512    408],[114510 114515    226],[114500 114515    483]
62973,,,,,,
54098,[54090 54110   121],[54090 54110   121],[54090 54110   121],[54081 54110   467],[54090 54112   459],[54090 54112   459]
144977,[144976 144981     87],,,[144976 144981     87],[144947 144981    497],[144947 144981    497]
32932,[32930 32939    99],[32930 32939    99],,[32930 32957   481],[32905 32939   439],[32930 32957   481]
