,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
136506,,,,,,
41303,[41303 41307    39],[41303 41307    39],[41303 41307    39],[41303 41310   206],[41291 41307   363],[41291 41307   363]
41302,[41297 41302    98],,,[41291 41302   212],[41291 41307   363],[41291 41307   363]
41305,[41303 41307    39],[41303 41307    39],[41303 41307    39],[41303 41310   206],[41291 41307   363],[41291 41307   363]
41304,[41303 41307    39],[41303 41307    39],[41303 41307    39],[41303 41310   206],[41291 41307   363],[41291 41307   363]
95218,,,,,,
178003,[177998 178005    123],[177998 178005    123],,[177988 178005    307],[177988 178007    355],[177988 178007    355]
41306,[41303 41307    39],[41303 41307    39],[41303 41307    39],[41303 41310   206],[41291 41307   363],[41291 41307   363]
19165,,,,,,
136511,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136512,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
77681,[77680 77685   118],,,[77680 77691   299],[77680 77688   225],[77680 77688   225]
136513,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136514,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
127989,,,,[127965 128004    339],,
95214,,,,,,
206040,,,,[206008 206071    471],[206008 206071    471],
205851,,,,[205788 205864    429],,
33700,[33693 33701   107],[33693 33702   146],[33693 33702   146],[33697 33708   410],[33690 33702   270],[33690 33702   270]
136515,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
144979,[144976 144981     87],,,[144976 144981     87],[144947 144981    497],[144947 144981    497]
136508,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136509,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136516,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
127357,,,,,,
136510,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
33699,[33693 33701   107],[33693 33702   146],[33693 33702   146],[33697 33708   410],[33690 33702   270],[33690 33702   270]
193191,,,,[193181 193249    365],,
193189,,,,[193181 193249    365],,
193192,,,,[193181 193249    365],,
128076,,,,[128037 128097    478],,
98166,,,,[98145 98172   436],[98153 98181   408],
136507,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
20165,[20162 20166    40],[20158 20166   127],,[20162 20179   419],[20155 20166   207],[20155 20170   362]
95219,,,,,,
232425,,,,[232423 232427    153],[232423 232427    153],[232420 232425    292]
193190,,,,[193181 193249    365],,
193193,,,,[193181 193249    365],,
113866,[113865 113868    115],,,[113865 113871    276],[113866 113871    194],[113866 113871    194]
128063,,,,[128037 128097    478],,
193186,,,,[193181 193249    365],,
3839,,,,,,
98446,[98439 98454   144],,,[98425 98454   468],[98430 98457   351],
136517,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
186534,,,,[186495 186539    490],,
228315,,,,[228306 228318    290],[228294 228316    465],[228295 228318    452]
133374,,,,[133331 133375    466],[133331 133375    466],[133374 133380    332]
394,,,,[381 398 384],[383 398 264],[381 398 384]
113867,[113865 113868    115],,,[113865 113871    276],[113866 113871    194],[113866 113871    194]
3832,,,,,,
168607,,,,[168607 168610    289],[168607 168610    289],[168607 168610    289]
20972,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
136518,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
192110,,,,[192071 192129    414],,
192108,,,,[192071 192129    414],,
232424,,,,[232423 232427    153],[232423 232427    153],[232420 232425    292]
20973,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
3831,,,,,,
192109,,,,[192071 192129    414],,
192107,,,,[192071 192129    414],,
3838,,,,,,
145077,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
33704,[33702 33705   103],,,[33697 33708   410],[33703 33708   252],[33703 33708   252]
20971,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
136503,,,,,,
