,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
136506,,,,,,
136503,,,,,,
136512,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136513,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
102612,,,,[102602 102634    491],[102602 102622    290],
136511,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136514,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136515,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136516,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136517,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
135891,[135888 135891     25],[135877 135891    132],[135877 135891    132],[135874 135891    324],[135874 135891    324],[135874 135891    324]
136510,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
98446,[98439 98454   144],,,[98425 98454   468],[98430 98457   351],
136518,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136509,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136508,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136507,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136519,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136521,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136490,[136489 136500    149],[136489 136500    149],[136489 136500    149],[136489 136502    405],[136489 136502    405],[136489 136502    405]
136520,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136604,[136597 136604     30],,,[136597 136628    448],[136591 136614    404],
155969,,,,[155962 155977    264],[155962 155977    264],
54879,[54878 54881    35],[54878 54881    35],[54878 54881    35],[54878 54883   197],[54878 54883   197],[54878 54883   197]
84939,,,,,,
59130,,,,[59120 59148   325],[59120 59157   427],
